awardID,awardFixedID,awardCode,allowanceLookupCode,publishedYear,isHeading,expenseAllowanceID,expenseAllowanceFixedID,versionNumber,sourceExpenseAllowanceID,clauseID,clauseFixedID,clauseLookupID,clauses,clauseDisplayOrder,parentAllowance,allowance,isAllPurpose,type,allowanceAmount,allowanceAmountLastAdjusted,roundValue,paymentFrequency,cpiSeriesID,cpiGroupDescription,cpiValueCurrentYear,cpiQuarterCurrentYear,cpiValueLastAdjusted,lastAdjustedYear,cpiQuarterLastAdjusted,displayOrder,OperativeFrom,operativeTo,lastModifiedDateTime
d95171e3-932f-f011-8c4e-00224895df16,1,MA000001,10,2025,0,e4925cf5-932f-f011-8c4e-00224895df16,1,4,314acf5a-1a2a-f011-8c4e-6045bdc39ba5,e95171e3-932f-f011-8c4e-00224895df16,1825,30,A.8.3,60,,Tool allowance,0,Detail,13.52,13.52,2,per week,A2328321T,Tools and equipment for house and garden; Australia;,124.50,March Quarter,125.50,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:48
d95171e3-932f-f011-8c4e-00224895df16,1,MA000001,10,2025,0,e9925cf5-932f-f011-8c4e-00224895df16,2,5,344acf5a-1a2a-f011-8c4e-6045bdc39ba5,e95171e3-932f-f011-8c4e-00224895df16,1825,30,A.8.3,60,,Meal allowance,0,Detail,19.77,19.27,2,for each meal,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,2,01-07-2025,,03-06-2025 01:30:32
d95171e3-932f-f011-8c4e-00224895df16,1,MA000001,10,2025,0,eb925cf5-932f-f011-8c4e-00224895df16,3,5,364acf5a-1a2a-f011-8c4e-6045bdc39ba5,ef5171e3-932f-f011-8c4e-00224895df16,1826,60,B.3.2,120,,Meal,0,Detail,19.77,19.27,2,for each meal,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:30:32
5ef2d7e2-932f-f011-8c4d-00224897b7fd,2,MA000002,10,2025,0,dc83c8ee-932f-f011-8c4d-00224897b7fd,4,2,394acf5a-1a2a-f011-8c4e-6045bdc39ba5,6ef2d7e2-932f-f011-8c4d-00224897b7fd,1827,30,19.4(d)(i),30,,Laundry allowance—Full-time employee,0,Detail,3.55,3.55,2,per week,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,1,01-01-2010,,25-06-2025 23:54:32
5ef2d7e2-932f-f011-8c4d-00224897b7fd,2,MA000002,10,2025,0,dd83c8ee-932f-f011-8c4d-00224897b7fd,5,2,3a4acf5a-1a2a-f011-8c4e-6045bdc39ba5,71f2d7e2-932f-f011-8c4d-00224897b7fd,1828,40,19.4(d)(ii),40,,Laundry allowance—Part-time or casual employee,0,Detail,0.71,.71,2,per shift,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,1,01-01-2010,,25-06-2025 23:54:32
5ef2d7e2-932f-f011-8c4d-00224897b7fd,2,MA000002,10,2025,0,de83c8ee-932f-f011-8c4d-00224897b7fd,7,7,424acf5a-1a2a-f011-8c4e-6045bdc39ba5,73f2d7e2-932f-f011-8c4d-00224897b7fd,1829,50,19.5(b)(i),50,,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—First meal,0,Detail,19.93,19.43,2,per occasion,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,2,01-07-2025,,03-06-2025 01:33:23
5ef2d7e2-932f-f011-8c4d-00224897b7fd,2,MA000002,10,2025,0,bd83c8ee-932f-f011-8c4d-00224897b7fd,9512,7,e8db0d53-1a2a-f011-8c4e-00224895df16,99f2d7e2-932f-f011-8c4d-00224897b7fd,22983,215,19.5(c),55,,Meal allowance—more than one and a half hours of overtime without 24 hours’ notice—Further 4 hours’ overtime,0,Detail,15.96,15.56,2,per occasion,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:33:23
5ef2d7e2-932f-f011-8c4d-00224897b7fd,2,MA000002,10,2025,0,e083c8ee-932f-f011-8c4d-00224897b7fd,8,5,444acf5a-1a2a-f011-8c4e-6045bdc39ba5,74f2d7e2-932f-f011-8c4d-00224897b7fd,1830,60,19.6(a)(i),60,,Vehicle allowance—Motor car,0,Detail,0.98,.98,2,per km,A2326656J,Private motoring,130.10,March Quarter,131.40,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:48
5ef2d7e2-932f-f011-8c4d-00224897b7fd,2,MA000002,10,2025,0,e183c8ee-932f-f011-8c4d-00224897b7fd,9,5,464acf5a-1a2a-f011-8c4e-6045bdc39ba5,76f2d7e2-932f-f011-8c4d-00224897b7fd,1831,70,19.6(a)(ii),70,,Vehicle allowance—Motorcycle,0,Detail,0.33,.33,2,per km,A2326656J,Private motoring,130.10,March Quarter,131.40,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:48
5bf2d7e2-932f-f011-8c4d-00224897b7fd,3,MA000003,10,2025,0,9a3bd0e8-932f-f011-8c4d-00224897b7fd,11,8,4f4acf5a-1a2a-f011-8c4e-6045bdc39ba5,72f2d7e2-932f-f011-8c4d-00224897b7fd,1832,20,17.4(a),60,,Meal allowance—more than one hour’s overtime without 24 hours’ notice,0,Detail,16.65,16.23,2,per occasion ,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:34:24
5bf2d7e2-932f-f011-8c4d-00224897b7fd,3,MA000003,10,2025,0,8b3bd0e8-932f-f011-8c4d-00224897b7fd,13593,6,968cba55-1a2a-f011-8c4e-000d3a6a6511,93f2d7e2-932f-f011-8c4d-00224897b7fd,36263,145,17.4(b),70,,Meal allowance—if more than 4 hours' overtime without 24 hours' notice—further allowance,0,Detail,15.04,14.66,2,per occasion ,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:34:24
5bf2d7e2-932f-f011-8c4d-00224897b7fd,3,MA000003,10,2025,0,9e3bd0e8-932f-f011-8c4d-00224897b7fd,12,2,504acf5a-1a2a-f011-8c4e-6045bdc39ba5,75f2d7e2-932f-f011-8c4d-00224897b7fd,1833,30,17.5(b)(i),80,,Special clothing allowance—laundering—full-time employee,0,Detail,6.25,6.25,2,per week,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,1,01-01-2010,,25-06-2025 23:53:28
5bf2d7e2-932f-f011-8c4d-00224897b7fd,3,MA000003,10,2025,0,a13bd0e8-932f-f011-8c4d-00224897b7fd,13,2,524acf5a-1a2a-f011-8c4e-6045bdc39ba5,77f2d7e2-932f-f011-8c4d-00224897b7fd,1834,40,17.5(b)(ii),90,,Special clothing allowance—laundering—part-time or casual employee,0,Detail,1.25,1.25,2,per shift,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,1,01-01-2010,,25-06-2025 23:53:28
5bf2d7e2-932f-f011-8c4d-00224897b7fd,3,MA000003,10,2025,0,a53bd0e8-932f-f011-8c4d-00224897b7fd,15,6,5a4acf5a-1a2a-f011-8c4e-6045bdc39ba5,7ef2d7e2-932f-f011-8c4d-00224897b7fd,1836,60,17.8(a),100,,Motor vehicle allowance—own motor vehicle—engaged primarily for delivery duties,0,Detail,0.52,.52,2,per km,A2326656J,Private motoring,130.10,March Quarter,131.40,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:48
5bf2d7e2-932f-f011-8c4d-00224897b7fd,3,MA000003,10,2025,0,a33bd0e8-932f-f011-8c4d-00224897b7fd,14,5,584acf5a-1a2a-f011-8c4e-6045bdc39ba5,7af2d7e2-932f-f011-8c4d-00224897b7fd,1835,50,17.8(b),110,,Motor vehicle allowance—own motor vehicle—engaged other than primarily for delivery duties,0,Detail,0.98,.98,2,per km,A2326656J,Private motoring,130.10,March Quarter,131.40,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:48
7576a750-942f-f011-8c4e-000d3a6a6511,4,MA000004,10,2025,0,32769a5c-942f-f011-8c4e-000d3a6a6511,18,7,644acf5a-1a2a-f011-8c4e-6045bdc39ba5,63c59f56-942f-f011-8c4e-000d3a6a6511,1838,20,19.2(b)(i),60,,Meal allowance—more than one hour’s overtime without 24 hours’ notice,0,Detail,23.59,22.99,2,per occasion,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:19:14
7576a750-942f-f011-8c4e-000d3a6a6511,4,MA000004,10,2025,0,30769a5c-942f-f011-8c4e-000d3a6a6511,9569,6,6fdc0d53-1a2a-f011-8c4e-00224895df16,99c59f56-942f-f011-8c4e-000d3a6a6511,23088,240,19.2(c),65,,Meal allowance—further 4 hours’ overtime,0,Detail,21.39,20.85,2,per occasion,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:19:14
7576a750-942f-f011-8c4e-000d3a6a6511,4,MA000004,10,2025,0,33769a5c-942f-f011-8c4e-000d3a6a6511,19,2,664acf5a-1a2a-f011-8c4e-6045bdc39ba5,66c59f56-942f-f011-8c4e-000d3a6a6511,1839,30,19.3(c)(i),70,,Special clothing allowance—laundering—full-time employee,0,Detail,6.25,6.25,2,per week,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,1,01-01-2010,,25-06-2025 23:36:23
7576a750-942f-f011-8c4e-000d3a6a6511,4,MA000004,10,2025,0,34769a5c-942f-f011-8c4e-000d3a6a6511,20,2,6b4acf5a-1a2a-f011-8c4e-6045bdc39ba5,6ac59f56-942f-f011-8c4e-000d3a6a6511,1840,40,19.3(c)(ii),80,,Special clothing allowance—laundering—part-time or casual employee,0,Detail,1.25,1.25,2,per shift,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,1,01-01-2010,,25-06-2025 23:36:23
7576a750-942f-f011-8c4e-000d3a6a6511,4,MA000004,10,2025,0,31769a5c-942f-f011-8c4e-000d3a6a6511,16,5,5e4acf5a-1a2a-f011-8c4e-6045bdc39ba5,61c59f56-942f-f011-8c4e-000d3a6a6511,1837,50,19.7,90,,Motor vehicle allowance,0,Detail,0.98,.98,2,per km,A2326656J,Private motoring,130.10,March Quarter,131.40,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:49
c5daac4a-942f-f011-8c4d-6045bde534d3,5,MA000005,10,2025,0,71e2a950-942f-f011-8c4d-6045bde534d3,23,5,744acf5a-1a2a-f011-8c4e-6045bdc39ba5,23dbac4a-942f-f011-8c4d-6045bde534d3,1843,40,20.5(a),130,,Meal allowance—more than one hour’s overtime without 24 hours’ notice,0,Detail,23.74,23.14,2,per occasion,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:36:22
c5daac4a-942f-f011-8c4d-6045bde534d3,5,MA000005,10,2025,0,61e2a950-942f-f011-8c4d-6045bde534d3,13594,5,9f8cba55-1a2a-f011-8c4e-000d3a6a6511,f2daac4a-942f-f011-8c4d-6045bde534d3,36280,123,20.5(b),140,,Meal allowance—if more than 4 hours’ overtime without 24 hours’ notice—further allowance,0,Detail,23.74,23.14,2,per occasion,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:36:22
c5daac4a-942f-f011-8c4d-6045bde534d3,5,MA000005,10,2025,0,69e2a950-942f-f011-8c4d-6045bde534d3,21,5,704acf5a-1a2a-f011-8c4e-6045bdc39ba5,21dbac4a-942f-f011-8c4d-6045bde534d3,1841,50,20.6,150,,Motor vehicle allowance,0,Detail,0.98,.98,2,per km,A2326656J,Private motoring,130.10,March Quarter,131.40,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:49
c5daac4a-942f-f011-8c4d-6045bde534d3,5,MA000005,10,2025,0,6ee2a950-942f-f011-8c4d-6045bde534d3,22,4,724acf5a-1a2a-f011-8c4e-6045bdc39ba5,22dbac4a-942f-f011-8c4d-6045bde534d3,1842,60,20.8(a),160,,Tool allowance,0,Detail,10.52,10.52,2,per week,A2328321T,Tools and equipment for house and garden; Australia;,124.50,March Quarter,125.50,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:49
8a05bc9f-942f-f011-8c4e-000d3acb71b1,7,MA000007,10,2025,0,ee38a7b1-942f-f011-8c4e-000d3acb71b1,9502,5,d3db0d53-1a2a-f011-8c4e-00224895df16,044ab4a5-942f-f011-8c4e-000d3acb71b1,22955,153,C.2.1,145,,Overtime meal allowance,0,Detail,20.78,20.25,2,per occurence,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:21:11
8a05bc9f-942f-f011-8c4e-000d3acb71b1,7,MA000007,10,2025,0,ef38a7b1-942f-f011-8c4e-000d3acb71b1,25,1,774acf5a-1a2a-f011-8c4e-6045bdc39ba5,9205bc9f-942f-f011-8c4e-000d3acb71b1,1844,150,C.2.2,150,,Compensation for damage to clothing and personal effects,0,Detail,350.00,350.00,2,maximum,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,1,01-01-2010,,25-06-2025 23:38:16
8a05bc9f-942f-f011-8c4e-000d3acb71b1,7,MA000007,10,2025,0,f138a7b1-942f-f011-8c4e-000d3acb71b1,26,4,784acf5a-1a2a-f011-8c4e-6045bdc39ba5,9205bc9f-942f-f011-8c4e-000d3acb71b1,1844,150,C.2.2,150,,Compensation for tools,0,Detail,"1,239.00",1239.00,0,maximum,A2328321T,Tools and equipment for house and garden; Australia;,124.50,March Quarter,125.50,2024,March Quarter,2,01-07-2024,,15-07-2025 02:35:49
a1659e7c-942f-f011-8c4d-7c1e522a6eb4,8,MA000008,10,2025,0,77669e7c-942f-f011-8c4d-7c1e522a6eb4,27,4,7a4acf5a-1a2a-f011-8c4e-6045bdc39ba5,a7659e7c-942f-f011-8c4d-7c1e522a6eb4,1845,20,15.2(a)(i),20,,Racecourse attendance allowance—within 75km of place of employment,0,Detail,30.01,30.01,2,per attendance,A2326656J,Private motoring,130.10,March Quarter,131.40,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:49
a1659e7c-942f-f011-8c4d-7c1e522a6eb4,8,MA000008,10,2025,0,78669e7c-942f-f011-8c4d-7c1e522a6eb4,28,4,7c4acf5a-1a2a-f011-8c4e-6045bdc39ba5,a8659e7c-942f-f011-8c4d-7c1e522a6eb4,1846,30,15.2(a)(ii),30,,Racecourse attendance allowance—more than 75km of place of employment—additional to clause 15.2(a)(i),0,Detail,7.07,7.07,2,per each additional 50km or part thereof,A2326656J,Private motoring,130.10,March Quarter,131.40,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:49
a1659e7c-942f-f011-8c4d-7c1e522a6eb4,8,MA000008,10,2025,0,79669e7c-942f-f011-8c4d-7c1e522a6eb4,29,5,7e4acf5a-1a2a-f011-8c4e-6045bdc39ba5,a9659e7c-942f-f011-8c4d-7c1e522a6eb4,1847,40,15.2(c)(i),40,,Meal allowance—attendance at a race meeting,0,Detail,14.98,14.60,2,per meal,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:37:50
a1659e7c-942f-f011-8c4d-7c1e522a6eb4,8,MA000008,10,2025,0,7a669e7c-942f-f011-8c4d-7c1e522a6eb4,30,5,804acf5a-1a2a-f011-8c4e-6045bdc39ba5,aa659e7c-942f-f011-8c4d-7c1e522a6eb4,1848,50,15.2(c)(ii),50,,Meal allowance—overtime—more than one and a half hours without notification,0,Detail,18.28,17.82,2,per meal,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:37:50
a1659e7c-942f-f011-8c4d-7c1e522a6eb4,8,MA000008,10,2025,0,75669e7c-942f-f011-8c4d-7c1e522a6eb4,31,1,5e434c4c-1a2a-f011-8c4d-000d3a6a46ce,ab659e7c-942f-f011-8c4d-7c1e522a6eb4,1849,60,15.2(f),60,,"Boots, caps and vest allowance—track riders",0,Detail,5.46,5.46,2,per week,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,1,01-01-2010,,25-06-2025 23:57:56
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,10,2025,0,922e173f-942f-f011-8c4e-000d3acb71b1,32,7,7f434c4c-1a2a-f011-8c4d-000d3a6a46ce,546e222d-942f-f011-8c4e-000d3acb71b1,1850,40,26.4(b)(i),90,,Meal allowance—overtime of more than 2 hours without required notice,0,Detail,16.73,16.31,2,per occasion,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:21:58
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,10,2025,0,9e2e173f-942f-f011-8c4e-000d3acb71b1,9558,7,61dc0d53-1a2a-f011-8c4e-00224895df16,a06e222d-942f-f011-8c4e-000d3acb71b1,23078,317,26.4(c),100,,Meal allowance—overtime of 2 hours or less and employee provides meal,0,Detail,16.73,16.31,2,per occasion,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:21:58
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,10,2025,0,952e173f-942f-f011-8c4e-000d3acb71b1,33,5,81434c4c-1a2a-f011-8c4d-000d3a6a46ce,556e222d-942f-f011-8c4e-000d3acb71b1,1851,50,26.5(a),110,,"Clothing, equipment and tools—where a cook or apprentice cook is required to use their own tools—Per day or part day",0,Detail,2.03,2.03,2,per day or part day,A2328321T,Tools and equipment for house and garden; Australia;,124.50,March Quarter,125.50,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:49
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,10,2025,0,962e173f-942f-f011-8c4e-000d3acb71b1,34,5,8d434c4c-1a2a-f011-8c4d-000d3a6a46ce,556e222d-942f-f011-8c4e-000d3acb71b1,1851,50,26.5(a),110,,"Clothing, equipment and tools—where a cook or apprentice cook is required to use their own tools—Per week (maximum)",0,Detail,9.94,9.94,2,per week,A2328321T,Tools and equipment for house and garden; Australia;,124.50,March Quarter,125.50,2024,March Quarter,2,01-07-2024,,15-07-2025 02:35:49
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,10,2025,0,972e173f-942f-f011-8c4e-000d3acb71b1,35,2,c0944452-1a2a-f011-8c4d-000d3a6a46ce,596e222d-942f-f011-8c4e-000d3acb71b1,1852,60,26.6(d),120,,"Uniform/laundry allowance—catering employees, including airport catering employees—Full-time employees",0,Detail,6.00,6.00,2,per week,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,1,01-01-2010,,25-06-2025 23:39:35
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,10,2025,0,982e173f-942f-f011-8c4e-000d3acb71b1,36,2,c3944452-1a2a-f011-8c4d-000d3a6a46ce,596e222d-942f-f011-8c4e-000d3acb71b1,1852,60,26.6(d),120,,"Uniform/laundry allowance—catering employees, including airport catering employees—Part-time and casual employees",0,Detail,2.05,2.05,2,per uniform laundered,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,2,01-01-2010,,25-06-2025 23:39:35
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,10,2025,0,992e173f-942f-f011-8c4e-000d3acb71b1,37,2,c4944452-1a2a-f011-8c4d-000d3a6a46ce,5a6e222d-942f-f011-8c4e-000d3acb71b1,1853,70,26.6(e),130,,Laundry allowance—motel employees—Per uniform,0,Detail,2.40,2.40,2,per uniform laundered,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,1,01-01-2010,,25-06-2025 23:39:35
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,10,2025,0,9a2e173f-942f-f011-8c4e-000d3acb71b1,38,2,e4944452-1a2a-f011-8c4d-000d3a6a46ce,5a6e222d-942f-f011-8c4e-000d3acb71b1,1853,70,26.6(e),130,,Laundry allowance—motel employees—Per week (maximum),0,Detail,7.45,7.45,2,per week,A2325936J,Clothing and footwear,98.40,March Quarter,101.00,2008,March Quarter,2,01-01-2010,,25-06-2025 23:39:35
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,10,2025,0,9b2e173f-942f-f011-8c4e-000d3acb71b1,39,5,e6944452-1a2a-f011-8c4d-000d3a6a46ce,5b6e222d-942f-f011-8c4e-000d3acb71b1,1854,80,26.7(b),140,,Motor vehicle allowance,0,Detail,0.99,.99,2,per km,A2326656J,Private motoring,130.10,March Quarter,131.40,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:49
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,10,2025,0,9c2e173f-942f-f011-8c4e-000d3acb71b1,40,6,ed944452-1a2a-f011-8c4d-000d3a6a46ce,5c6e222d-942f-f011-8c4e-000d3acb71b1,1855,90,26.11,150,,Travel allowance—airport catering employees,0,Detail,8.45,8.45,2,per day of attendance,A2326656J,Private motoring,130.10,March Quarter,131.40,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:49
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,10,2025,0,a02e173f-942f-f011-8c4e-000d3acb71b1,9579,5,87dc0d53-1a2a-f011-8c4e-00224895df16,a76e222d-942f-f011-8c4e-000d3acb71b1,23098,322,37.7,250,–,Deductions - A meal - Same rate all ages,0,Detail,10.13,9.87,2,per meal,A2327601T,Take away and fast foods,146.30,March Quarter,142.60,2024,March Quarter,1,01-07-2025,,03-06-2025 01:21:58
2c6e222d-942f-f011-8c4e-000d3acb71b1,9,MA000009,8,2025,0,9f2e173f-942f-f011-8c4e-000d3acb71b1,9580,1,88dc0d53-1a2a-f011-8c4e-00224895df16,a76e222d-942f-f011-8c4e-000d3acb71b1,23098,322,37.7,250,,–,0,Group,,,,,,,,,,,,,,,25-06-2025 23:39:36
fc5d81ff-942f-f011-8c4d-000d3ad2853b,10,MA000010,10,2025,0,a75a6c17-952f-f011-8c4d-000d3ad2853b,41,4,f1944452-1a2a-f011-8c4d-000d3a6a46ce,3d5e81ff-942f-f011-8c4d-000d3ad2853b,1856,460,30.2(c)(ii),82,,Tool allowance—tradespersons and apprentices,1,Detail,17.90,17.90,2,per week,A2328321T,Tools and equipment for house and garden; Australia;,124.50,March Quarter,125.50,2024,March Quarter,1,01-07-2024,,15-07-2025 02:35:49
